               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1221,            0.014337,            0.075743,           0.0024631,            0.055556,            0.029835,            0.005967,             0.11382,            0.012416,             0.07635,              0.0982,              0.0002,              0.0002
                   1,             0.11968,            0.015946,            0.074546,           0.0026455,            0.055556,            0.029915,           0.0059831,              0.1117,             0.01289,            0.075049,            0.095498,          0.00049752,          0.00049752
                   2,             0.11636,            0.017596,            0.073518,           0.0027933,            0.055556,            0.029981,           0.0059961,              0.1086,              0.0136,            0.073229,            0.092792,          0.00079208,          0.00079208
                   3,             0.11376,            0.016308,            0.070285,           0.0078947,             0.16667,            0.062106,             0.01223,             0.10421,            0.014516,            0.070794,            0.090084,           0.0010837,           0.0010837
                   4,             0.11024,            0.016797,            0.065813,            0.016277,             0.61111,            0.047074,           0.0062962,             0.09825,              0.0157,            0.067797,            0.087372,           0.0013723,           0.0013723
                   5,             0.10435,            0.020174,            0.062298,             0.01195,             0.61111,            0.028916,           0.0089379,            0.095306,             0.01608,            0.065663,            0.084658,           0.0016579,           0.0016579
                   6,            0.099246,            0.021665,            0.058951,            0.014001,             0.77778,             0.23125,             0.11639,            0.090878,            0.016701,            0.060855,            0.081941,           0.0019406,           0.0019406
                   7,            0.091675,            0.021466,            0.055243,           0.0098435,             0.72222,             0.39619,             0.10429,            0.089257,            0.016676,            0.057617,             0.07922,           0.0022203,           0.0022203
                   8,            0.089814,            0.023789,            0.052545,            0.010122,             0.88889,             0.15962,            0.069888,            0.085389,            0.016688,            0.050452,            0.076497,            0.002497,            0.002497
                   9,            0.087387,            0.019427,            0.047361,           0.0090655,             0.94444,            0.034359,           0.0090638,            0.088786,            0.015836,            0.046458,            0.073771,           0.0027708,           0.0027708
                  10,            0.082004,            0.021733,            0.043227,            0.029108,                 0.5,             0.11272,            0.021145,            0.083404,            0.016148,            0.038966,            0.071042,           0.0030416,           0.0030416
                  11,            0.082576,            0.020575,            0.038688,           0.0068039,                   1,            0.027899,           0.0068059,            0.088388,            0.015591,            0.036115,            0.068309,           0.0033094,           0.0033094
                  12,            0.080651,            0.022711,            0.035167,            0.006203,                   1,            0.023444,           0.0073496,            0.085139,            0.015311,            0.032162,            0.065574,           0.0035743,           0.0035743
                  13,            0.079048,            0.021344,            0.032212,            0.019516,             0.44444,            0.040734,            0.014672,            0.084926,            0.014696,            0.030421,            0.062836,           0.0038362,           0.0038362
                  14,            0.080367,            0.020927,             0.03059,            0.072442,             0.44444,            0.088944,            0.027633,            0.083778,            0.014499,            0.027475,            0.060095,           0.0040951,           0.0040951
                  15,            0.079957,            0.018219,            0.027269,             0.20935,             0.44444,             0.30852,             0.10179,            0.077982,            0.014802,            0.026509,            0.057351,            0.004351,            0.004351
                  16,            0.077534,            0.020092,            0.025375,             0.13848,             0.15021,             0.11601,            0.027157,            0.080488,            0.014922,            0.024618,            0.054604,            0.004604,            0.004604
                  17,            0.079669,            0.018272,            0.024164,             0.80105,             0.44444,             0.38339,              0.1039,            0.080991,            0.014515,            0.022992,            0.051854,            0.004854,            0.004854
                  18,            0.084917,            0.019248,            0.024967,             0.16215,             0.53524,             0.24141,            0.044011,            0.087744,            0.014021,            0.020626,            0.049101,            0.005101,            0.005101
                  19,            0.084717,            0.019138,            0.023941,             0.77891,             0.27778,             0.25623,            0.045373,            0.073415,            0.015406,            0.019334,            0.046345,           0.0053451,           0.0053451
